Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40W16-IVSD-TR"
Duration Time,60.327
Ambient Temperature,"103.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"611928"
Raw Accumulated Counts,"631854"
Valid Count Last Packet,"9710"
Raw Count Last Packet,"9984"
Live Time,58.872955
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8457
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"1999"
1,"1593"
2,"955"
3,"482"
4,"172"
5,"33"
6,"7"
7,"0"
8,"1"
9,"1"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"0"
30,"0"
31,"3"
32,"41"
33,"95"
34,"151"
35,"163"
36,"186"
37,"177"
38,"164"
39,"143"
40,"183"
41,"169"
42,"161"
43,"152"
44,"183"
45,"162"
46,"188"
47,"159"
48,"188"
49,"141"
50,"161"
51,"181"
52,"149"
53,"145"
54,"176"
55,"158"
56,"135"
57,"137"
58,"161"
59,"150"
60,"136"
61,"151"
62,"164"
63,"162"
64,"141"
65,"144"
66,"134"
67,"148"
68,"125"
69,"152"
70,"138"
71,"165"
72,"130"
73,"155"
74,"134"
75,"125"
76,"118"
77,"120"
78,"113"
79,"139"
80,"132"
81,"132"
82,"134"
83,"127"
84,"139"
85,"121"
86,"154"
87,"160"
88,"167"
89,"135"
90,"131"
91,"136"
92,"154"
93,"160"
94,"145"
95,"199"
96,"197"
97,"240"
98,"267"
99,"224"
100,"193"
101,"192"
102,"151"
103,"115"
104,"149"
105,"124"
106,"116"
107,"135"
108,"112"
109,"140"
110,"118"
111,"125"
112,"129"
113,"141"
114,"140"
115,"126"
116,"132"
117,"129"
118,"124"
119,"123"
120,"104"
121,"91"
122,"111"
123,"109"
124,"101"
125,"94"
126,"108"
127,"104"
128,"102"
129,"101"
130,"102"
131,"119"
132,"100"
133,"117"
134,"121"
135,"103"
136,"115"
137,"113"
138,"98"
139,"107"
140,"111"
141,"130"
142,"125"
143,"145"
144,"130"
145,"148"
146,"152"
147,"136"
148,"183"
149,"158"
150,"175"
151,"165"
152,"143"
153,"139"
154,"131"
155,"116"
156,"120"
157,"123"
158,"109"
159,"127"
160,"126"
161,"123"
162,"107"
163,"143"
164,"153"
165,"163"
166,"186"
167,"186"
168,"203"
169,"171"
170,"156"
171,"140"
172,"159"
173,"147"
174,"129"
175,"161"
176,"169"
177,"246"
178,"339"
179,"626"
180,"1198"
181,"2234"
182,"4002"
183,"6391"
184,"9104"
185,"11190"
186,"12111"
187,"11423"
188,"9612"
189,"6978"
190,"4602"
191,"2570"
192,"1326"
193,"633"
194,"350"
195,"287"
196,"300"
197,"461"
198,"720"
199,"1049"
200,"1489"
201,"1836"
202,"1952"
203,"1922"
204,"1721"
205,"1330"
206,"895"
207,"569"
208,"295"
209,"163"
210,"85"
211,"61"
212,"39"
213,"37"
214,"39"
215,"36"
216,"40"
217,"47"
218,"62"
219,"51"
220,"79"
221,"90"
222,"131"
223,"147"
224,"202"
225,"247"
226,"239"
227,"242"
228,"213"
229,"154"
230,"114"
231,"90"
232,"82"
233,"62"
234,"54"
235,"54"
236,"49"
237,"53"
238,"69"
239,"78"
240,"97"
241,"109"
242,"147"
243,"166"
244,"171"
245,"172"
246,"162"
247,"163"
248,"135"
249,"116"
250,"108"
251,"91"
252,"74"
253,"53"
254,"36"
255,"46"
256,"46"
257,"53"
258,"63"
259,"52"
260,"77"
261,"77"
262,"64"
263,"44"
264,"37"
265,"38"
266,"47"
267,"32"
268,"32"
269,"40"
270,"34"
271,"43"
272,"33"
273,"47"
274,"46"
275,"32"
276,"43"
277,"53"
278,"66"
279,"41"
280,"51"
281,"46"
282,"32"
283,"42"
284,"48"
285,"36"
286,"33"
287,"36"
288,"36"
289,"54"
290,"52"
291,"59"
292,"67"
293,"73"
294,"123"
295,"111"
296,"122"
297,"161"
298,"143"
299,"133"
300,"125"
301,"80"
302,"60"
303,"65"
304,"39"
305,"45"
306,"40"
307,"34"
308,"47"
309,"37"
310,"45"
311,"55"
312,"54"
313,"86"
314,"166"
315,"298"
316,"529"
317,"948"
318,"1496"
319,"2222"
320,"3046"
321,"3670"
322,"4237"
323,"4390"
324,"4082"
325,"3493"
326,"2637"
327,"1890"
328,"1223"
329,"726"
330,"390"
331,"219"
332,"96"
333,"57"
334,"37"
335,"33"
336,"34"
337,"18"
338,"32"
339,"31"
340,"22"
341,"24"
342,"29"
343,"32"
344,"37"
345,"37"
346,"37"
347,"69"
348,"95"
349,"110"
350,"193"
351,"270"
352,"382"
353,"488"
354,"628"
355,"678"
356,"762"
357,"710"
358,"579"
359,"479"
360,"367"
361,"271"
362,"172"
363,"98"
364,"58"
365,"40"
366,"26"
367,"19"
368,"14"
369,"18"
370,"22"
371,"27"
372,"26"
373,"30"
374,"34"
375,"43"
376,"33"
377,"37"
378,"27"
379,"31"
380,"32"
381,"29"
382,"23"
383,"19"
384,"11"
385,"13"
386,"18"
387,"25"
388,"19"
389,"18"
390,"20"
391,"14"
392,"19"
393,"15"
394,"16"
395,"16"
396,"15"
397,"25"
398,"21"
399,"32"
400,"35"
401,"40"
402,"60"
403,"64"
404,"67"
405,"83"
406,"75"
407,"79"
408,"62"
409,"48"
410,"51"
411,"36"
412,"25"
413,"25"
414,"23"
415,"29"
416,"19"
417,"27"
418,"18"
419,"15"
420,"30"
421,"23"
422,"22"
423,"21"
424,"22"
425,"20"
426,"32"
427,"38"
428,"22"
429,"38"
430,"55"
431,"49"
432,"76"
433,"61"
434,"102"
435,"95"
436,"120"
437,"82"
438,"75"
439,"75"
440,"50"
441,"49"
442,"43"
443,"35"
444,"37"
445,"24"
446,"29"
447,"34"
448,"37"
449,"37"
450,"31"
451,"29"
452,"25"
453,"40"
454,"31"
455,"23"
456,"20"
457,"29"
458,"26"
459,"23"
460,"30"
461,"21"
462,"28"
463,"29"
464,"38"
465,"33"
466,"29"
467,"26"
468,"24"
469,"29"
470,"29"
471,"25"
472,"33"
473,"23"
474,"28"
475,"35"
476,"24"
477,"39"
478,"36"
479,"39"
480,"39"
481,"38"
482,"43"
483,"32"
484,"45"
485,"37"
486,"35"
487,"38"
488,"33"
489,"40"
490,"33"
491,"41"
492,"45"
493,"32"
494,"26"
495,"40"
496,"35"
497,"34"
498,"58"
499,"39"
500,"42"
501,"32"
502,"44"
503,"35"
504,"50"
505,"36"
506,"33"
507,"42"
508,"30"
509,"39"
510,"38"
511,"35"
512,"46"
513,"53"
514,"42"
515,"52"
516,"50"
517,"47"
518,"46"
519,"44"
520,"57"
521,"53"
522,"48"
523,"52"
524,"57"
525,"61"
526,"60"
527,"60"
528,"67"
529,"41"
530,"58"
531,"72"
532,"62"
533,"68"
534,"45"
535,"71"
536,"78"
537,"60"
538,"72"
539,"53"
540,"62"
541,"63"
542,"62"
543,"72"
544,"88"
545,"71"
546,"61"
547,"55"
548,"73"
549,"69"
550,"69"
551,"72"
552,"87"
553,"84"
554,"84"
555,"71"
556,"87"
557,"73"
558,"87"
559,"83"
560,"95"
561,"73"
562,"106"
563,"73"
564,"84"
565,"99"
566,"92"
567,"90"
568,"76"
569,"79"
570,"88"
571,"91"
572,"96"
573,"102"
574,"99"
575,"87"
576,"98"
577,"82"
578,"107"
579,"104"
580,"97"
581,"96"
582,"98"
583,"112"
584,"102"
585,"107"
586,"116"
587,"113"
588,"94"
589,"98"
590,"102"
591,"102"
592,"127"
593,"117"
594,"137"
595,"118"
596,"130"
597,"111"
598,"140"
599,"139"
600,"121"
601,"133"
602,"127"
603,"141"
604,"122"
605,"113"
606,"131"
607,"133"
608,"115"
609,"132"
610,"130"
611,"154"
612,"141"
613,"133"
614,"129"
615,"137"
616,"137"
617,"163"
618,"144"
619,"163"
620,"139"
621,"128"
622,"139"
623,"179"
624,"170"
625,"157"
626,"157"
627,"166"
628,"147"
629,"167"
630,"184"
631,"186"
632,"161"
633,"146"
634,"172"
635,"172"
636,"167"
637,"185"
638,"163"
639,"189"
640,"176"
641,"167"
642,"180"
643,"199"
644,"187"
645,"174"
646,"181"
647,"179"
648,"197"
649,"223"
650,"168"
651,"176"
652,"192"
653,"188"
654,"162"
655,"206"
656,"203"
657,"199"
658,"201"
659,"203"
660,"180"
661,"176"
662,"193"
663,"210"
664,"216"
665,"223"
666,"220"
667,"226"
668,"224"
669,"209"
670,"283"
671,"273"
672,"255"
673,"247"
674,"254"
675,"268"
676,"285"
677,"295"
678,"267"
679,"272"
680,"267"
681,"247"
682,"244"
683,"228"
684,"272"
685,"249"
686,"228"
687,"249"
688,"254"
689,"255"
690,"232"
691,"277"
692,"236"
693,"245"
694,"245"
695,"253"
696,"231"
697,"285"
698,"257"
699,"275"
700,"288"
701,"370"
702,"341"
703,"424"
704,"528"
705,"655"
706,"866"
707,"998"
708,"1241"
709,"1510"
710,"1752"
711,"1913"
712,"2067"
713,"2066"
714,"2165"
715,"1971"
716,"1926"
717,"1705"
