Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40W4-IVSD-TR"
Duration Time,60.073
Ambient Temperature,"103.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"771198"
Raw Accumulated Counts,"800414"
Valid Count Last Packet,"12101"
Raw Count Last Packet,"12495"
Live Time,58.215000
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8447
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2012"
1,"1642"
2,"1011"
3,"475"
4,"180"
5,"49"
6,"2"
7,"3"
8,"0"
9,"1"
10,"3"
11,"0"
12,"0"
13,"1"
14,"1"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"6"
32,"44"
33,"134"
34,"179"
35,"193"
36,"235"
37,"221"
38,"216"
39,"225"
40,"240"
41,"216"
42,"252"
43,"215"
44,"217"
45,"214"
46,"222"
47,"214"
48,"190"
49,"203"
50,"172"
51,"210"
52,"179"
53,"209"
54,"189"
55,"208"
56,"202"
57,"188"
58,"193"
59,"185"
60,"183"
61,"172"
62,"202"
63,"206"
64,"164"
65,"172"
66,"161"
67,"184"
68,"182"
69,"169"
70,"203"
71,"176"
72,"209"
73,"167"
74,"179"
75,"169"
76,"177"
77,"152"
78,"153"
79,"170"
80,"171"
81,"158"
82,"161"
83,"135"
84,"183"
85,"210"
86,"204"
87,"205"
88,"253"
89,"198"
90,"207"
91,"164"
92,"158"
93,"161"
94,"146"
95,"133"
96,"133"
97,"144"
98,"137"
99,"171"
100,"134"
101,"135"
102,"112"
103,"121"
104,"143"
105,"126"
106,"136"
107,"141"
108,"133"
109,"120"
110,"137"
111,"116"
112,"105"
113,"134"
114,"125"
115,"114"
116,"116"
117,"124"
118,"109"
119,"129"
120,"124"
121,"119"
122,"118"
123,"111"
124,"105"
125,"107"
126,"132"
127,"113"
128,"111"
129,"91"
130,"105"
131,"98"
132,"112"
133,"104"
134,"104"
135,"127"
136,"123"
137,"122"
138,"125"
139,"110"
140,"117"
141,"123"
142,"136"
143,"128"
144,"132"
145,"128"
146,"131"
147,"150"
148,"154"
149,"118"
150,"130"
151,"125"
152,"104"
153,"122"
154,"112"
155,"88"
156,"95"
157,"91"
158,"90"
159,"95"
160,"84"
161,"104"
162,"123"
163,"182"
164,"239"
165,"280"
166,"351"
167,"403"
168,"402"
169,"289"
170,"235"
171,"161"
172,"129"
173,"107"
174,"77"
175,"72"
176,"81"
177,"99"
178,"89"
179,"133"
180,"143"
181,"169"
182,"203"
183,"276"
184,"331"
185,"419"
186,"370"
187,"386"
188,"323"
189,"285"
190,"187"
191,"129"
192,"82"
193,"72"
194,"60"
195,"55"
196,"51"
197,"41"
198,"65"
199,"72"
200,"75"
201,"89"
202,"96"
203,"107"
204,"95"
205,"94"
206,"72"
207,"69"
208,"51"
209,"56"
210,"35"
211,"44"
212,"60"
213,"47"
214,"48"
215,"41"
216,"38"
217,"41"
218,"41"
219,"55"
220,"51"
221,"71"
222,"87"
223,"149"
224,"225"
225,"306"
226,"352"
227,"393"
228,"449"
229,"377"
230,"291"
231,"200"
232,"173"
233,"122"
234,"110"
235,"102"
236,"97"
237,"63"
238,"64"
239,"62"
240,"52"
241,"48"
242,"58"
243,"63"
244,"62"
245,"74"
246,"74"
247,"114"
248,"101"
249,"116"
250,"105"
251,"98"
252,"80"
253,"76"
254,"53"
255,"47"
256,"34"
257,"46"
258,"51"
259,"36"
260,"44"
261,"46"
262,"40"
263,"50"
264,"54"
265,"49"
266,"45"
267,"58"
268,"66"
269,"52"
270,"67"
271,"53"
272,"64"
273,"85"
274,"67"
275,"66"
276,"80"
277,"59"
278,"51"
279,"48"
280,"43"
281,"52"
282,"44"
283,"48"
284,"38"
285,"63"
286,"44"
287,"50"
288,"44"
289,"52"
290,"53"
291,"63"
292,"56"
293,"73"
294,"74"
295,"106"
296,"99"
297,"91"
298,"95"
299,"102"
300,"96"
301,"102"
302,"70"
303,"91"
304,"93"
305,"61"
306,"82"
307,"101"
308,"70"
309,"80"
310,"112"
311,"107"
312,"176"
313,"239"
314,"404"
315,"785"
316,"1397"
317,"2549"
318,"4156"
319,"6081"
320,"8357"
321,"10351"
322,"11751"
323,"11843"
324,"10879"
325,"9219"
326,"7337"
327,"5187"
328,"3294"
329,"1991"
330,"1046"
331,"548"
332,"267"
333,"138"
334,"94"
335,"67"
336,"54"
337,"50"
338,"54"
339,"51"
340,"54"
341,"47"
342,"67"
343,"61"
