Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40W25-IVSD-TR"
Duration Time,60.093
Ambient Temperature,"105.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"814740"
Raw Accumulated Counts,"847773"
Valid Count Last Packet,"12812"
Raw Count Last Packet,"13360"
Live Time,58.111019
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8364
Number of Channels,2048
Vacuum,632
Channel#,Intensity
0,"2008"
1,"1542"
2,"970"
3,"491"
4,"196"
5,"50"
6,"11"
7,"1"
8,"1"
9,"0"
10,"1"
11,"1"
12,"0"
13,"0"
14,"1"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"7"
32,"58"
33,"151"
34,"152"
35,"224"
36,"233"
37,"235"
38,"237"
39,"206"
40,"216"
41,"244"
42,"217"
43,"227"
44,"202"
45,"203"
46,"210"
47,"211"
48,"191"
49,"208"
50,"199"
51,"224"
52,"178"
53,"200"
54,"198"
55,"223"
56,"222"
57,"192"
58,"196"
59,"187"
60,"190"
61,"183"
62,"164"
63,"188"
64,"186"
65,"158"
66,"182"
67,"178"
68,"172"
69,"174"
70,"174"
71,"181"
72,"176"
73,"154"
74,"196"
75,"178"
76,"183"
77,"169"
78,"153"
79,"158"
80,"154"
81,"133"
82,"143"
83,"134"
84,"176"
85,"197"
86,"192"
87,"216"
88,"208"
89,"199"
90,"194"
91,"145"
92,"137"
93,"147"
94,"125"
95,"137"
96,"143"
97,"147"
98,"131"
99,"135"
100,"137"
101,"120"
102,"152"
103,"143"
104,"142"
105,"125"
106,"137"
107,"129"
108,"131"
109,"140"
110,"124"
111,"138"
112,"129"
113,"117"
114,"113"
115,"125"
116,"116"
117,"125"
118,"125"
119,"113"
120,"106"
121,"136"
122,"115"
123,"98"
124,"109"
125,"119"
126,"121"
127,"128"
128,"98"
129,"108"
130,"97"
131,"103"
132,"116"
133,"80"
134,"96"
135,"94"
136,"106"
137,"122"
138,"106"
139,"104"
140,"116"
141,"126"
142,"113"
143,"135"
144,"112"
145,"138"
146,"132"
147,"145"
148,"147"
149,"172"
150,"168"
151,"136"
152,"124"
153,"135"
154,"104"
155,"103"
156,"70"
157,"97"
158,"92"
159,"80"
160,"108"
161,"120"
162,"158"
163,"196"
164,"269"
165,"381"
166,"409"
167,"497"
168,"483"
169,"395"
170,"260"
171,"215"
172,"161"
173,"92"
174,"65"
175,"82"
176,"83"
177,"73"
178,"99"
179,"96"
180,"128"
181,"145"
182,"150"
183,"144"
184,"163"
185,"150"
186,"166"
187,"168"
188,"136"
189,"100"
190,"91"
191,"80"
192,"55"
193,"63"
194,"51"
195,"50"
196,"44"
197,"64"
198,"67"
199,"59"
200,"57"
201,"72"
202,"71"
203,"41"
204,"49"
205,"67"
206,"44"
207,"56"
208,"45"
209,"37"
210,"56"
211,"48"
212,"41"
213,"32"
214,"55"
215,"47"
216,"52"
217,"43"
218,"39"
219,"62"
220,"57"
221,"74"
222,"124"
223,"172"
224,"268"
225,"366"
226,"399"
227,"475"
228,"481"
229,"421"
230,"365"
231,"276"
232,"209"
233,"174"
234,"159"
235,"140"
236,"125"
237,"108"
238,"91"
239,"73"
240,"69"
241,"77"
242,"65"
243,"76"
244,"82"
245,"101"
246,"133"
247,"140"
248,"158"
249,"154"
250,"151"
251,"125"
252,"124"
253,"83"
254,"62"
255,"62"
256,"57"
257,"47"
258,"40"
259,"51"
260,"58"
261,"47"
262,"58"
263,"67"
264,"58"
265,"53"
266,"57"
267,"45"
268,"76"
269,"86"
270,"88"
271,"104"
272,"105"
273,"77"
274,"91"
275,"73"
276,"59"
277,"56"
278,"63"
279,"64"
280,"61"
281,"54"
282,"69"
283,"64"
284,"68"
285,"55"
286,"53"
287,"58"
288,"63"
289,"81"
290,"75"
291,"86"
292,"89"
293,"129"
294,"152"
295,"175"
296,"223"
297,"224"
298,"249"
299,"219"
300,"186"
301,"150"
302,"149"
303,"130"
304,"111"
305,"109"
306,"97"
307,"121"
308,"146"
309,"150"
310,"149"
311,"174"
312,"250"
313,"397"
314,"694"
315,"1316"
316,"2420"
317,"4213"
318,"6715"
319,"9917"
320,"13698"
321,"16873"
322,"18752"
323,"19523"
324,"18325"
325,"15474"
326,"12171"
327,"8536"
328,"5205"
329,"3058"
330,"1690"
331,"889"
332,"402"
333,"225"
334,"130"
335,"80"
336,"96"
337,"77"
338,"65"
339,"100"
340,"75"
341,"88"
342,"80"
343,"105"
344,"112"
345,"130"
346,"179"
347,"257"
348,"399"
349,"598"
350,"906"
351,"1324"
352,"1901"
353,"2398"
354,"2908"
355,"3288"
356,"3256"
357,"3059"
358,"2829"
359,"2164"
360,"1553"
361,"1156"
362,"719"
363,"364"
364,"225"
365,"126"
366,"81"
367,"52"
368,"41"
369,"31"
370,"30"
371,"44"
372,"68"
373,"74"
374,"94"
375,"96"
376,"105"
377,"115"
378,"91"
379,"91"
380,"74"
381,"73"
382,"54"
383,"37"
384,"38"
385,"39"
386,"29"
387,"28"
388,"21"
389,"20"
390,"23"
391,"26"
392,"23"
393,"28"
394,"27"
395,"22"
396,"23"
397,"30"
398,"33"
399,"46"
400,"59"
401,"67"
402,"104"
403,"138"
404,"138"
405,"136"
406,"160"
407,"160"
408,"118"
409,"106"
410,"85"
411,"61"
412,"52"
413,"37"
414,"43"
415,"42"
416,"45"
417,"46"
418,"41"
419,"26"
420,"40"
421,"38"
422,"37"
423,"32"
424,"25"
425,"43"
426,"40"
427,"55"
428,"69"
429,"66"
430,"124"
431,"144"
432,"202"
433,"262"
434,"284"
435,"284"
436,"334"
437,"303"
438,"254"
439,"194"
440,"159"
441,"111"
442,"74"
443,"56"
444,"41"
445,"45"
446,"39"
447,"35"
448,"42"
449,"40"
450,"65"
451,"63"
452,"67"
453,"35"
454,"41"
455,"37"
456,"34"
457,"37"
458,"36"
459,"39"
460,"47"
461,"39"
462,"55"
463,"65"
464,"88"
465,"79"
466,"88"
467,"101"
468,"79"
469,"67"
470,"76"
471,"60"
472,"52"
473,"49"
474,"40"
475,"37"
476,"57"
477,"72"
478,"64"
479,"70"
480,"69"
481,"93"
482,"88"
483,"91"
484,"80"
485,"85"
486,"58"
487,"57"
488,"64"
489,"64"
490,"53"
491,"41"
492,"47"
493,"50"
494,"43"
495,"46"
496,"54"
497,"54"
498,"46"
499,"44"
500,"49"
501,"54"
502,"53"
503,"50"
504,"50"
505,"51"
506,"51"
507,"53"
508,"41"
509,"58"
510,"45"
511,"37"
512,"70"
513,"44"
514,"59"
515,"58"
516,"63"
517,"70"
518,"64"
519,"71"
520,"92"
521,"72"
522,"79"
523,"66"
524,"87"
525,"87"
526,"102"
527,"120"
528,"136"
529,"149"
530,"146"
531,"144"
532,"184"
533,"162"
534,"148"
535,"135"
536,"120"
537,"100"
538,"109"
539,"90"
540,"84"
541,"90"
542,"93"
543,"92"
544,"83"
545,"83"
546,"60"
547,"80"
548,"86"
549,"86"
550,"76"
551,"87"
552,"80"
553,"91"
554,"100"
555,"116"
556,"95"
557,"103"
558,"102"
559,"107"
560,"96"
561,"96"
562,"109"
563,"104"
564,"117"
565,"115"
566,"127"
567,"135"
568,"121"
569,"133"
570,"112"
571,"117"
572,"112"
573,"115"
574,"110"
575,"104"
576,"111"
577,"110"
578,"119"
579,"111"
580,"112"
581,"135"
582,"134"
583,"138"
584,"134"
585,"125"
586,"142"
587,"158"
588,"143"
589,"137"
590,"146"
591,"155"
592,"154"
593,"152"
594,"166"
595,"136"
596,"143"
597,"127"
598,"146"
599,"143"
600,"174"
601,"161"
602,"168"
603,"158"
604,"173"
605,"161"
606,"147"
607,"160"
608,"153"
609,"170"
610,"145"
611,"136"
612,"183"
613,"183"
614,"164"
615,"190"
616,"176"
617,"180"
618,"192"
619,"162"
620,"203"
621,"210"
622,"202"
623,"179"
624,"197"
625,"172"
626,"179"
627,"180"
628,"181"
629,"204"
630,"220"
631,"211"
632,"237"
633,"225"
634,"212"
635,"275"
636,"228"
637,"227"
638,"224"
639,"220"
640,"229"
641,"242"
642,"222"
643,"213"
644,"225"
645,"215"
646,"242"
647,"249"
648,"220"
649,"232"
650,"266"
651,"247"
652,"250"
653,"248"
654,"243"
655,"255"
656,"260"
657,"244"
658,"290"
659,"277"
660,"229"
661,"260"
662,"275"
663,"309"
664,"292"
665,"312"
666,"396"
667,"458"
668,"529"
669,"638"
670,"734"
671,"887"
672,"972"
673,"1049"
674,"1070"
675,"1125"
676,"987"
677,"978"
678,"896"
679,"820"
680,"685"
681,"603"
682,"520"
683,"438"
684,"396"
685,"353"
686,"324"
687,"350"
688,"334"
689,"297"
690,"295"
691,"296"
692,"269"
693,"275"
694,"287"
695,"313"
696,"299"
697,"326"
698,"306"
699,"322"
700,"349"
701,"342"
702,"410"
703,"433"
704,"476"
705,"549"
706,"651"
707,"806"
708,"909"
709,"1000"
710,"1163"
711,"1352"
712,"1373"
713,"1434"
714,"1478"
715,"1341"
716,"1276"
717,"1177"
718,"1051"
719,"878"
720,"697"
721,"655"
722,"583"
