Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40W17-IVSD-TR"
Duration Time,60.075
Ambient Temperature,"103.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"866503"
Raw Accumulated Counts,"902404"
Valid Count Last Packet,"13662"
Raw Count Last Packet,"14154"
Live Time,57.992996
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8372
Number of Channels,2048
Vacuum,623
Channel#,Intensity
0,"1988"
1,"1546"
2,"998"
3,"506"
4,"193"
5,"36"
6,"9"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"1"
24,"1"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"5"
32,"51"
33,"121"
34,"176"
35,"193"
36,"211"
37,"214"
38,"227"
39,"206"
40,"242"
41,"226"
42,"194"
43,"192"
44,"203"
45,"197"
46,"217"
47,"170"
48,"183"
49,"209"
50,"183"
51,"216"
52,"184"
53,"187"
54,"234"
55,"189"
56,"198"
57,"191"
58,"183"
59,"174"
60,"174"
61,"191"
62,"189"
63,"170"
64,"189"
65,"183"
66,"159"
67,"172"
68,"171"
69,"155"
70,"160"
71,"189"
72,"158"
73,"183"
74,"171"
75,"194"
76,"181"
77,"171"
78,"157"
79,"143"
80,"144"
81,"129"
82,"149"
83,"154"
84,"158"
85,"158"
86,"191"
87,"213"
88,"179"
89,"198"
90,"157"
91,"134"
92,"140"
93,"123"
94,"143"
95,"118"
96,"133"
97,"135"
98,"142"
99,"151"
100,"140"
101,"158"
102,"140"
103,"134"
104,"129"
105,"132"
106,"115"
107,"114"
108,"111"
109,"111"
110,"128"
111,"114"
112,"126"
113,"117"
114,"123"
115,"95"
116,"121"
117,"114"
118,"111"
119,"134"
120,"113"
121,"118"
122,"102"
123,"102"
124,"113"
125,"113"
126,"107"
127,"110"
128,"129"
129,"100"
130,"103"
131,"112"
132,"110"
133,"116"
134,"110"
135,"99"
136,"93"
137,"109"
138,"128"
139,"135"
140,"113"
141,"135"
142,"116"
143,"137"
144,"138"
145,"147"
146,"125"
147,"146"
148,"164"
149,"144"
150,"145"
151,"135"
152,"144"
153,"110"
154,"119"
155,"89"
156,"96"
157,"79"
158,"86"
159,"86"
160,"100"
161,"113"
162,"122"
163,"152"
164,"238"
165,"300"
166,"335"
167,"336"
168,"349"
169,"306"
170,"223"
171,"181"
172,"131"
173,"102"
174,"84"
175,"71"
176,"71"
177,"81"
178,"87"
179,"108"
180,"131"
181,"142"
182,"128"
183,"186"
184,"214"
185,"192"
186,"249"
187,"223"
188,"171"
189,"157"
190,"129"
191,"84"
192,"55"
193,"72"
194,"53"
195,"52"
196,"61"
197,"67"
198,"57"
199,"72"
200,"68"
201,"77"
202,"91"
203,"90"
204,"73"
205,"75"
206,"54"
207,"53"
208,"59"
209,"60"
210,"53"
211,"54"
212,"42"
213,"58"
214,"53"
215,"63"
216,"59"
217,"57"
218,"57"
219,"55"
220,"73"
221,"92"
222,"147"
223,"246"
224,"339"
225,"420"
226,"492"
227,"567"
228,"590"
229,"489"
230,"440"
231,"352"
232,"241"
233,"179"
234,"174"
235,"158"
236,"151"
237,"114"
238,"93"
239,"98"
240,"86"
241,"77"
242,"84"
243,"101"
244,"100"
245,"129"
246,"128"
247,"155"
248,"175"
249,"179"
250,"164"
251,"153"
252,"129"
253,"111"
254,"83"
255,"86"
256,"60"
257,"56"
258,"55"
259,"57"
260,"70"
261,"64"
262,"67"
263,"66"
264,"70"
265,"75"
266,"81"
267,"87"
268,"109"
269,"105"
270,"100"
271,"117"
272,"105"
273,"115"
274,"121"
275,"115"
276,"101"
277,"73"
278,"73"
279,"77"
280,"67"
281,"65"
282,"90"
283,"87"
284,"89"
285,"69"
286,"65"
287,"82"
288,"90"
289,"89"
290,"133"
291,"131"
292,"177"
293,"230"
294,"308"
295,"412"
296,"476"
297,"529"
298,"527"
299,"488"
300,"393"
301,"328"
302,"279"
303,"207"
304,"169"
305,"149"
306,"138"
307,"149"
308,"131"
309,"171"
310,"205"
311,"236"
312,"316"
313,"504"
314,"886"
315,"1717"
316,"3190"
317,"5655"
318,"9156"
319,"13368"
320,"18550"
321,"22955"
322,"25758"
323,"26507"
324,"24452"
325,"21076"
326,"16110"
327,"11416"
328,"7273"
329,"4439"
330,"2355"
331,"1194"
332,"591"
333,"333"
334,"165"
335,"125"
336,"108"
337,"105"
338,"105"
339,"93"
340,"87"
341,"109"
342,"110"
343,"149"
344,"131"
345,"193"
346,"237"
347,"301"
348,"492"
349,"726"
350,"1124"
351,"1777"
352,"2419"
353,"3276"
354,"3950"
